latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.86741,78.15392,309.56,0.53,0.42,2024-01-05,2001,SNPP,SNPP,n,2,278.89,1.83,N,0
8.87045,78.15775,329.19,0.58,0.69,2024-01-16,0719,SNPP,SNPP,n,2,297.24,2.5,D,0
8.8673,78.15552,318.28,0.44,0.46,2024-01-16,1955,SNPP,SNPP,n,2,294.14,2.13,N,0
8.40751,78.01168,335.06,0.41,0.37,2024-01-29,0815,SNPP,SNPP,n,2,301.72,2.68,D,0
8.86853,78.15145,318.05,0.49,0.4,2024-01-30,2032,SNPP,SNPP,n,2,292.52,1.71,N,0
8.85536,78.15738,330.23,0.4,0.45,2024-02-08,0828,SNPP,SNPP,l,2,302.38,3.81,D,0
8.86192,78.12486,331.6,0.51,0.49,2024-02-13,0834,SNPP,SNPP,n,2,299.94,3.56,D,0
8.86832,78.15723,339.51,0.42,0.38,2024-02-14,0815,SNPP,SNPP,n,2,302.54,3.4,D,0
8.79802,78.0862,331.8,0.42,0.37,2024-02-14,0815,SNPP,SNPP,n,2,299.66,1.67,D,0
8.81282,78.03939,333.31,0.45,0.47,2024-02-21,0744,SNPP,SNPP,n,2,302.03,3.52,D,0
8.79504,78.09399,311.83,0.39,0.36,2024-02-21,2020,SNPP,SNPP,n,2,294.49,1.16,N,0
8.8674,78.12152,305.24,0.44,0.39,2024-02-27,2007,SNPP,SNPP,n,2,293.36,0.66,N,0
8.53323,78.12489,335.11,0.4,0.37,2024-03-07,0802,SNPP,SNPP,l,2,302.51,3.85,D,3
8.7758,78.04828,333.91,0.45,0.47,2024-03-08,0744,SNPP,SNPP,n,2,303.56,3.7,D,0
8.93151,78.17548,330.34,0.44,0.46,2024-03-08,0744,SNPP,SNPP,l,2,301.99,3.33,D,0
8.93036,78.17683,333.1,0.44,0.46,2024-03-08,0744,SNPP,SNPP,n,2,303.58,3.53,D,0
8.92243,78.00612,331.76,0.47,0.64,2024-03-09,0725,SNPP,SNPP,n,2,299.12,3.54,D,0
8.8982,77.86274,331.7,0.39,0.44,2024-03-11,0828,SNPP,SNPP,l,2,303.66,2.43,D,0
8.76731,78.0552,340.27,0.39,0.36,2024-03-12,0809,SNPP,SNPP,n,2,312.35,1.67,D,0
8.47275,77.9271,334.79,0.37,0.58,2024-03-14,0731,SNPP,SNPP,n,2,304.86,4.28,D,0
8.46737,77.92802,367,0.37,0.58,2024-03-14,0731,SNPP,SNPP,h,2,306.77,4.28,D,0
8.46979,77.92506,330.42,0.37,0.58,2024-03-14,0731,SNPP,SNPP,n,2,304.44,5.23,D,0
8.47039,77.92847,367,0.37,0.58,2024-03-14,0731,SNPP,SNPP,h,2,308.44,5.23,D,0
8.58826,78.13019,342.45,0.56,0.52,2024-03-19,0737,SNPP,SNPP,n,2,305.07,4.52,D,0
8.75875,78.01372,334.02,0.44,0.46,2024-03-24,0744,SNPP,SNPP,l,2,305.91,2.87,D,0
8.76302,78.01299,331.67,0.44,0.46,2024-03-24,0744,SNPP,SNPP,l,2,305.57,2.87,D,0
8.87059,78.16299,342.91,0.43,0.46,2024-03-24,0744,SNPP,SNPP,n,2,304.31,7.01,D,0
8.5688,78.13342,342.59,0.4,0.44,2024-03-27,0828,SNPP,SNPP,n,2,299.65,3.05,D,3
8.68187,77.993,340.2,0.41,0.37,2024-04-02,0815,SNPP,SNPP,n,2,302.56,7.1,D,0
8.73119,77.99432,337.93,0.32,0.55,2024-04-06,0840,SNPP,SNPP,l,2,308.68,2.98,D,0
8.74235,77.9235,337.88,0.32,0.55,2024-04-06,0840,SNPP,SNPP,n,2,307.08,6.75,D,0
8.8438,78.11586,341.22,0.33,0.55,2024-04-06,0840,SNPP,SNPP,n,2,308.35,3.12,D,0
8.85783,78.05614,333.8,0.49,0.4,2024-04-07,0822,SNPP,SNPP,l,2,306.08,5.77,D,0
8.8541,78.05667,351.71,0.49,0.4,2024-04-07,0822,SNPP,SNPP,n,2,308.04,5.77,D,0
8.76741,78.07244,334.2,0.49,0.4,2024-04-07,0822,SNPP,SNPP,l,2,305.34,4.69,D,0
8.85237,77.89223,335.78,0.45,0.47,2024-04-09,0744,SNPP,SNPP,n,2,302.88,1.94,D,0
8.86178,77.9487,344.3,0.44,0.46,2024-04-09,0744,SNPP,SNPP,n,2,303.6,5.37,D,0
8.86111,77.94469,367,0.44,0.46,2024-04-09,0744,SNPP,SNPP,h,2,304.58,10.52,D,0
8.79147,78.10152,333.02,0.39,0.36,2024-04-13,0809,SNPP,SNPP,l,2,304.36,3.47,D,0
8.85058,78.04687,331.31,0.51,0.5,2024-04-17,0834,SNPP,SNPP,n,2,280.57,2.86,D,0
8.86297,78.06842,346.53,0.44,0.38,2024-04-19,0757,SNPP,SNPP,n,2,305.79,6.54,D,0
8.9289,78.00391,343.39,0.44,0.46,2024-04-25,0744,SNPP,SNPP,n,2,304.11,4.57,D,0
8.80247,77.94705,334.11,0.44,0.46,2024-04-25,0744,SNPP,SNPP,n,2,303.33,0.88,D,0
8.8571,77.89926,331.96,0.46,0.64,2024-04-26,0725,SNPP,SNPP,n,2,298.18,3.05,D,0
8.74451,77.89847,330.73,0.41,0.61,2024-04-27,0847,SNPP,SNPP,n,2,286.92,3.9,D,0
8.86912,78.15676,334.78,0.39,0.36,2024-04-29,0809,SNPP,SNPP,n,2,301.45,2.09,D,0
8.88223,78.10809,337.16,0.39,0.36,2024-04-29,0809,SNPP,SNPP,n,2,302.64,1.64,D,0
8.9071,77.98523,345.39,0.39,0.36,2024-04-29,0809,SNPP,SNPP,n,2,300.6,3.74,D,0
8.94557,77.94719,341.62,0.39,0.36,2024-04-29,0809,SNPP,SNPP,n,2,304.48,7.83,D,0
8.89123,78.04921,342.23,0.51,0.5,2024-05-03,0834,SNPP,SNPP,n,2,291.25,9.68,D,0
8.89582,78.04858,343.55,0.51,0.5,2024-05-03,0834,SNPP,SNPP,n,2,289.81,9.13,D,0
8.89519,78.04386,344.61,0.51,0.5,2024-05-03,0834,SNPP,SNPP,n,2,292.84,9.13,D,0
8.79561,77.97469,339.72,0.42,0.37,2024-05-04,0815,SNPP,SNPP,n,2,303.85,6.97,D,0
8.86375,78.06519,340.21,0.42,0.38,2024-05-04,0815,SNPP,SNPP,n,2,303.68,4.06,D,0
8.82371,78.05551,345.95,0.44,0.38,2024-05-05,0756,SNPP,SNPP,l,2,306.83,7.55,D,0
8.93655,78.08627,349.08,0.44,0.38,2024-05-05,0757,SNPP,SNPP,n,2,307.08,7.12,D,0
8.94007,78.08571,346.62,0.44,0.38,2024-05-05,0757,SNPP,SNPP,n,2,306.36,8.07,D,0
8.88849,78.04208,347.31,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,300.92,6.62,D,0
8.8932,78.04128,342,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,303.45,6.62,D,0
8.8914,78.03922,336.46,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,301.18,5.57,D,0
8.88668,78.04002,343.89,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,301.07,5.57,D,0
8.88754,78.04507,337.27,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,302.02,5.57,D,0
8.88369,78.0509,355.43,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,302.06,8.83,D,0
8.87811,78.04665,340.8,0.55,0.51,2024-05-06,0738,SNPP,SNPP,n,2,301.65,8.58,D,0
8.87898,78.0517,331.98,0.55,0.51,2024-05-06,0738,SNPP,SNPP,l,2,302.12,8.83,D,0
8.8708,78.03234,331.26,0.56,0.51,2024-05-06,0738,SNPP,SNPP,n,2,300.28,1.48,D,0
8.82274,78.03546,355.89,0.56,0.51,2024-05-06,0738,SNPP,SNPP,n,2,302.07,9.22,D,0
8.81802,78.03627,334.55,0.56,0.51,2024-05-06,0738,SNPP,SNPP,n,2,302.28,9.22,D,0
8.8183,78.03969,331.26,0.33,0.55,2024-05-08,0840,SNPP,SNPP,n,2,279.95,2.17,D,0
8.81605,78.03962,330.19,0.33,0.55,2024-05-08,0840,SNPP,SNPP,n,2,280.52,2.49,D,0
8.86871,78.15816,347.04,0.43,0.46,2024-05-27,0744,SNPP,SNPP,n,2,282.15,5.8,D,0
8.86835,78.15629,333.12,0.42,0.38,2024-06-05,0815,SNPP,SNPP,n,2,297.56,3.13,D,0
8.86909,78.15705,333.93,0.39,0.36,2024-06-11,0802,SNPP,SNPP,l,2,305.32,3.19,D,0
8.85642,78.11545,332.88,0.41,0.61,2024-06-14,0846,SNPP,SNPP,n,2,295.51,1.9,D,0
8.69778,77.97237,339.06,0.4,0.6,2024-06-14,0846,SNPP,SNPP,n,2,297.29,3.61,D,0
8.86248,77.94221,335.91,0.39,0.44,2024-06-15,0827,SNPP,SNPP,n,2,304.89,2.07,D,0
8.8781,77.98127,341.04,0.54,0.42,2024-06-17,0749,SNPP,SNPP,n,2,301.91,6.99,D,0
