latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.39936,78.04765,335.99,0.48,0.4,2025-10-03,0824,SNPP,SNPP,n,2,303.38,2.64,D,0
8.65075,78.10001,340.08,0.44,0.46,2025-10-05,0747,SNPP,SNPP,n,2,296.65,6.21,D,0
8.64974,78.10064,338.17,0.44,0.46,2025-10-05,0747,SNPP,SNPP,n,2,296.86,5.4,D,0
8.67859,78.07047,346.51,0.39,0.36,2025-10-09,0812,SNPP,SNPP,n,2,282.85,5.35,D,0
8.86694,78.15536,333.93,0.39,0.36,2025-10-09,0812,SNPP,SNPP,n,2,300.34,1.46,D,0
8.7266,77.97061,339.9,0.41,0.37,2025-10-30,0819,SNPP,SNPP,n,2,306.96,2.31,D,0
8.8687,78.15914,333.81,0.44,0.38,2025-10-31,0800,SNPP,SNPP,l,2,308.05,3.18,D,0
8.66928,77.99203,304.98,0.4,0.37,2025-11-01,2017,SNPP,SNPP,n,2,292.95,0.58,N,0
8.94237,78.08803,303.59,0.41,0.61,2025-11-04,2101,SNPP,SNPP,n,2,285.41,0.61,N,0
8.45415,78.08576,333.43,0.41,0.37,2025-11-15,0819,SNPP,SNPP,n,2,291.95,3.2,D,0
8.65643,78.11404,332.68,0.44,0.39,2025-11-16,0800,SNPP,SNPP,n,2,294.81,3.49,D,3
8.55469,78.09315,333.96,0.39,0.36,2025-12-07,0807,SNPP,SNPP,n,2,298.83,2.74,D,0
8.79375,78.09942,305.45,0.39,0.36,2025-12-08,2024,SNPP,SNPP,n,2,292.93,0.26,N,0
8.84835,78.13666,305.82,0.39,0.36,2025-12-08,2024,SNPP,SNPP,n,2,292.72,0.51,N,0
8.66875,77.99349,305.65,0.44,0.39,2025-12-14,2012,SNPP,SNPP,n,2,292.27,0.42,N,0
8.65525,78.03093,330.37,0.39,0.36,2025-12-23,0807,SNPP,SNPP,n,2,300.63,1.04,D,0
8.86733,78.15561,332.69,0.39,0.36,2025-12-28,0814,SNPP,SNPP,n,2,299.97,2.42,D,2
